Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lickilicky RO+BS/SB,356,32,0
Tinkaton FW+GH/Bd,283,17,0
Altaria DB+SA/Ft,362,40,0
Empoleon MSo+HC/DrlP,282,16,0
Mimikyu SC+SS/PR,516,0,4
Altaria (Shadow) DB+SA/Ft,347,8,0
Empoleon (Shadow) MSo+HC/DrlP,102,40,0
Quagsire (Shadow) MS+AT/MB,707,1,51
Quagsire MS+AT/MB,573,25,18
Jellicent H+S/SB,650,0,37
Forretress VS+ST/RT,453,1,0
Ninetales E+WBF/EB,650,9,37
Cramorant Pk+Dve/Fl,532,1,8
Ninetales (Shadow) E+WBF/EB,605,1,26
Feraligatr SC+HC/IB,626,1,31
Forretress (Shadow) VS+ST/RT,699,1,49
Corsola (Galarian) A+NSh/PG,573,1,18
Jumpluff FW+EB/Acr,768,1,66
Clodsire PSt+Eq/SE,411,41,0
Corviknight SdA+AC/Pbk,483,9,0
Fearow Pk+DrlP/DR,524,1,6
Feraligatr (Shadow) SC+HC/IB,536,16,9
Kingdra DB+S/Sw,540,1,10
Azumarill B+IB/PR,387,41,0
Guzzlord DT+BrS/SlB,573,17,18
Furret SkP+Sw/TBl,617,1,29
Kingdra (Shadow) DB+S/Sw,478,8,0
Lapras Psy+SpA/IB,301,16,0
Corviknight (Shadow) SdA+AC/Pbk,593,1,23
Dragonair (Shadow) DB+Wr/AT,480,8,0
Sableye (Shadow) SC+FoP/DrP,617,1,29
Seismitoad MS+EP/IW,617,25,29
Umbreon Sn+FoP/LR,703,1,50
Medicham PC+IP/DyP,621,16,30
Talonflame I+Fl/BrB,756,1,63
Dragonair DB+AT/DgP,581,1,20
Oinkologne (Female) MSl+BS/TBl,686,0,46
Sliggoo DB+BS/DgP,532,9,8
Sealeo PS+S/BS,324,16,0
Greedent MS+BS/TBl,573,0,18
Grumpig Psy+DyP/SB,500,17,0
Sealeo (Shadow) PS+S/BS,125,48,0
Thievul SkP+NS/IW,605,1,26
Diggersby MS+FiP/ScS,670,1,42
Dusclops H+IP/ShP,581,0,20
Lapras (Shadow) Psy+SpA/IB,540,9,10
Sableye SC+FoP/PG,670,1,42
Wigglytuff Ch+IW/Sw,589,9,22
Cradily Ac+RT/GK,291,8,0
Dusclops (Shadow) H+IP/ShP,678,17,44
Florges FW+CW/DV,626,1,31
Moltres (Galarian) SkP+Fl/BrB,504,9,1
Blastoise RO+HC/SkB,788,17,71
Clefable FW+M/MM,581,1,20
Mantine WA+Tw/WP,593,0,23
Talonflame (Shadow) I+FmC/Fl,707,1,51
Mandibuzz Sn+FoP/SB,565,1,16
Dewgong IS+IW/DR,388,1,0
Malamar Psy+SP/FoP,556,1,14
Steelix (Shadow) TF+PsF/Cr,277,1,0
Charjabug VS+XS/D,341,8,0
Drapion (Shadow) PSt+Cr/AT,662,1,40
Gastrodon MSl+BS/EP,747,9,61
Ninetales (Alolan) PS+WBI/CW,100,40,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,120,40,0
Swampert MS+HC/Eq,626,1,31
Aegislash (Shield) PC+SB/GB,540,2,10
Bastiodon SD+SE/Ft,140,25,0
Marowak (Shadow) MSl+BC/RS,825,1,80
Swampert (Shadow) MS+HC/Eq,560,16,15
Stunfisk (Galarian) MS+RS/Eq,287,25,0
Stunfisk TS+MB/D,276,17,0
Hydreigon (Shadow) DB+BrS/Fl,540,0,10
Registeel LO+FC/FB,399,9,0
Dusknoir (Shadow) A+DyP/ShP,800,1,74
Malamar (Shadow) Psy+FoP/SP,406,0,0
Dunsparce RO+DR/RS,470,33,0
Jumpluff (Shadow) FW+EB/Acr,711,1,52
Melmetal TS+DbI/DyP,349,9,0
Morpeko (Full Belly) TS+AuW/PsF,105,40,0
Pelipper WA+WBW/Hu,634,1,33
Turtonator I+BrS/DC,528,9,7
Oranguru Cf+BrS/TBl,528,0,7
Seaking Pk+DR/IW,508,17,2
Dondozo W+S/O,328,32,0
Gourgeist (Large) I+SB/SeB,869,0,91
Gourgeist (Super) I+SB/SeB,869,0,91
Milotic W+AT/Wr,609,17,27
Shelgon DB+Tw/Ft,544,1,11
Gourgeist (Average) I+SB/SeB,869,0,91
Hydreigon DB+BrS/Fl,491,8,0
Drapion PSt+Cr/AT,630,1,32
Shelgon (Shadow) DB+Tw/Ft,451,0,0
Doublade SC+SSw/GB,405,33,0
Morgrem SkP+FoP/PR,512,1,3
Samurott FC+HC/Mh,548,1,12
Crustle FC+XS/RW,373,8,0
Dusknoir A+DyP/ShP,833,1,82
Gourgeist (Small) I+SB/SeB,869,0,91
Castform (Sunny) E+WBF/SoB,654,9,38
Spidops SC+Lu/RT,813,8,77
Aromatisse FW+Psh/M,536,9,9
Toxapex PJ+Bri/SW,338,17,0
Miltank RO+BS/Tb,443,17,0
Carbink RTh+RS/M,182,9,0
Golisopod FC+XS/AJ,918,0,103
Milotic (Shadow) W+AT/Wr,540,1,10
Crustle (Shadow) FC+XS/RW,447,8,0
Ludicolo A+WBW/EB,951,0,111
Aurorus PS+WBI/MeB,60,40,0
Gligar WA+NS/Dg,556,25,14
Lumineon G+AT/SvW,556,0,14
Primeape (Shadow) KC+RF/IP,280,40,0
Togekiss Pk+Psh/AuS,556,1,14
Grumpig (Shadow) Psy+DyP/SB,397,8,0
Politoed (Shadow) MS+WBW/IB,678,1,44
Sylveon FW+Psh/SB,674,1,43
Toucannon Pk+BBl/DrlP,500,1,0
Noctowl WA+SB/Re,330,24,0
Walrein PS+ISp/Eq,97,40,0
Sandslash (Alolan) PS+IP/DR,80,40,0
Toucannon (Shadow) Pk+BBl/DrlP,500,0,0
Gligar (Shadow) WA+NS/Dg,674,1,43
Lickitung L+BS/PW,727,1,56
Weezing (Galarian) (Shadow) FW+Sl/BrS,662,1,40
Araquanid BBi+WP/BuB,886,1,95
Greninja (Shadow) WSh+HC/NS,173,40,0
Hippowdon SdA+WBR/EP,638,1,34
Swalot MS+Sl/IB,339,32,0
Cresselia PC+GK/M,597,1,24
Murkrow (Shadow) Pk+DrlP/FoP,185,40,0
Regidrago DB+DrE/VG,385,8,0
Goodra DB+AT/TP,512,1,3
Pachirisu VS+HF/TP,239,1,0
Bellibolt TS+ZC/PbC,77,48,0
Linoone SC+Sw/GK,727,9,56
Steelix TF+PsF/Cr,293,33,0
Zweilous DB+BS/DP,512,1,3
Kommo-o DT+ClS/UH,890,0,96
Sandslash (Alolan) (Shadow) PS+IP/DR,252,0,0
Spiritomb SkP+RT/SB,772,1,67
Araquanid (Shadow) BBi+BuB/WP,829,16,81
Giratina (Altered) (Shadow) DB+DC/SS,358,8,0
Lanturn WG+S/Tb,273,17,0
Qwilfish (Shadow) PSt+AT/SB,617,0,29
Klefki A+FoP/PR,601,1,25
Ledian RO+DyP/Acr,617,1,29
Marowak MSl+BC/RS,630,17,32
Zweilous (Shadow) DB+BS/DP,442,8,0
Annihilape LK+RF/IP,898,0,98
Diggersby (Shadow) MS+ScS/FiP,544,0,11
Dragalge Ac+AT/O,674,1,43
Dudunsparce RO+BS/DR,642,1,35
Hakamo-o DT+BkB/RT,890,0,96
